local_date,pm10,pm25,no2
2023-10-15T00:00:00+02:00,-1.0,7.05,-1.0
2023-10-15T00:00:00+02:00,13.4,-1.0,-1.0
2023-10-15T00:00:00+02:00,-1.0,-1.0,28.5
2023-10-14T23:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T23:00:00+02:00,-1.0,-1.0,30.5
2023-10-14T23:00:00+02:00,12.4,-1.0,-1.0
2023-10-14T22:00:00+02:00,9.9,-1.0,-1.0
2023-10-14T22:00:00+02:00,-1.0,5.17,-1.0
2023-10-14T22:00:00+02:00,-1.0,-1.0,25.5
2023-10-14T21:00:00+02:00,-1.0,-1.0,30.0
2023-10-14T21:00:00+02:00,11.9,-1.0,-1.0
2023-10-14T21:00:00+02:00,-1.0,5.64,-1.0
2023-10-14T20:00:00+02:00,-1.0,4.7,-1.0
2023-10-14T20:00:00+02:00,-1.0,-1.0,27.5
2023-10-14T20:00:00+02:00,11.9,-1.0,-1.0
2023-10-14T19:00:00+02:00,10.4,-1.0,-1.0
2023-10-14T19:00:00+02:00,-1.0,3.76,-1.0
2023-10-14T19:00:00+02:00,-1.0,-1.0,14.0
2023-10-14T18:00:00+02:00,-1.0,4.7,-1.0
2023-10-14T18:00:00+02:00,12.4,-1.0,-1.0
2023-10-14T18:00:00+02:00,-1.0,-1.0,10.5
2023-10-14T17:00:00+02:00,-1.0,4.7,-1.0
2023-10-14T17:00:00+02:00,-1.0,-1.0,9.5
2023-10-14T17:00:00+02:00,11.9,-1.0,-1.0
2023-10-14T16:00:00+02:00,13.4,-1.0,-1.0
2023-10-14T16:00:00+02:00,-1.0,5.17,-1.0
2023-10-14T16:00:00+02:00,-1.0,-1.0,7.0
2023-10-14T15:00:00+02:00,-1.0,-1.0,7.0
2023-10-14T15:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T15:00:00+02:00,17.4,-1.0,-1.0
2023-10-14T14:00:00+02:00,-1.0,-1.0,8.0
2023-10-14T14:00:00+02:00,16.9,-1.0,-1.0
2023-10-14T14:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T13:00:00+02:00,17.4,-1.0,-1.0
2023-10-14T13:00:00+02:00,-1.0,6.11,-1.0
2023-10-14T13:00:00+02:00,-1.0,-1.0,9.5
2023-10-14T12:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T12:00:00+02:00,18.4,-1.0,-1.0
2023-10-14T12:00:00+02:00,-1.0,-1.0,10.5
2023-10-14T11:00:00+02:00,18.9,-1.0,-1.0
2023-10-14T11:00:00+02:00,-1.0,7.05,-1.0
2023-10-14T11:00:00+02:00,-1.0,-1.0,15.5
2023-10-14T10:00:00+02:00,18.4,-1.0,-1.0
2023-10-14T10:00:00+02:00,-1.0,-1.0,18.5
2023-10-14T10:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T09:00:00+02:00,-1.0,-1.0,18.5
2023-10-14T09:00:00+02:00,-1.0,6.58,-1.0
2023-10-14T09:00:00+02:00,16.9,-1.0,-1.0
2023-10-14T08:00:00+02:00,-1.0,-1.0,13.5
2023-10-14T08:00:00+02:00,-1.0,6.11,-1.0
2023-10-14T08:00:00+02:00,15.9,-1.0,-1.0
2023-10-14T07:00:00+02:00,15.4,-1.0,-1.0
2023-10-14T07:00:00+02:00,-1.0,-1.0,9.0
2023-10-14T07:00:00+02:00,-1.0,5.64,-1.0
2023-10-14T06:00:00+02:00,15.9,-1.0,-1.0
2023-10-14T06:00:00+02:00,-1.0,-1.0,13.0
2023-10-14T06:00:00+02:00,-1.0,5.64,-1.0
2023-10-14T05:00:00+02:00,17.4,-1.0,-1.0
