time_x,local_date,sensor_id,pm10_x,pm25_x,no2_x,o3,so2,co_conc,nmvoc,no,time_y,pm10_y,pm25_y,no2_y,latitude,longitude
6,2023-10-07 06:00:00,3036,11.747489,5.5661645,3.9167683,56.113506,0.9835136,195.34415,11.000992,0.069444895,6,9.874,5.96,8.836,50.773131,6.095775
7,2023-10-07 07:00:00,3036,9.645547,4.8564744,5.386659,55.33471,1.1386886,193.53935,11.561814,0.22555469,7,10.68,6.371,5.933,50.773131,6.095775
8,2023-10-07 08:00:00,3036,10.002289,4.464046,5.494145,56.54173,1.0946034,198.4728,12.275677,0.64576966,8,10.488,6.631,8.365,50.773131,6.095775
9,2023-10-07 09:00:00,3036,8.453935,4.194456,4.8811088,59.116646,1.2703936,195.2648,10.791342,0.99715436,9,11.001,6.811,13.805,50.773131,6.095775
10,2023-10-07 10:00:00,3036,8.539075,4.770306,4.4175997,61.10948,1.2261268,191.2806,10.200468,1.1126436,10,11.246,6.528,18.331,50.773131,6.095775
11,2023-10-07 11:00:00,3036,10.447262,4.973133,3.782484,64.78022,1.3449295,189.51596,9.677769,1.140858,11,10.545,6.163,18.889,50.773131,6.095775
12,2023-10-07 12:00:00,3036,10.7392,4.4203386,3.293397,68.06983,1.3734286,182.71672,9.757688,1.0025052,12,11.332,6.015,22.26,50.773131,6.095775
13,2023-10-07 13:00:00,3036,12.951206,3.5775847,3.6172142,70.1549,1.4570105,181.39108,10.403025,0.9580394,13,10.853,6.067,24.488,50.773131,6.095775
14,2023-10-07 14:00:00,3036,9.633794,3.7814374,3.6372876,71.86213,1.4865549,174.8968,10.884091,0.9286616,14,10.053,5.733,19.497,50.773131,6.095775
15,2023-10-07 15:00:00,3036,10.596876,3.561369,4.185868,72.2362,1.4762378,176.703,11.467615,0.7346088,15,10.676,5.286,20.597,50.773131,6.095775
16,2023-10-07 16:00:00,3036,14.895325,3.6432686,5.0309243,69.879776,1.4761384,178.64061,12.807169,0.4203855,16,10.002,5.007,15.781,50.773131,6.095775
17,2023-10-07 17:00:00,3036,13.83421,3.0347564,7.3269014,64.48342,1.527809,184.78587,12.587508,0.11082868,17,9.822,4.96,19.126,50.773131,6.095775
18,2023-10-07 18:00:00,3036,12.9838915,3.513514,7.1115794,63.451202,1.5948488,187.54393,12.556241,0.031612046,18,10.639,4.693,15.559,50.773131,6.095775
19,2023-10-07 19:00:00,3036,12.5180235,4.4121294,6.941397,61.496876,1.6179804,192.37596,12.216344,0.029793067,19,10.96,4.807,20.598,50.773131,6.095775
20,2023-10-07 20:00:00,3036,11.241753,4.39276,5.7579136,61.334774,1.605382,193.94624,11.680165,0.02272138,20,11.104,4.871,21.033,50.773131,6.095775
6,2023-10-08 06:00:00,3036,12.890268,6.074785,7.49494,50.34599,2.1791139,207.45697,17.495766,0.082700066,6,11.849,5.667,9.288,50.773131,6.095775
7,2023-10-08 07:00:00,3036,12.715333,5.81349,9.145026,45.180138,2.2803023,212.54391,19.011808,0.63358384,7,12.432,5.868,9.96,50.773131,6.095775
8,2023-10-08 08:00:00,3036,14.405601,6.306365,9.339303,46.746693,1.9463186,211.8327,20.188965,1.4133548,8,11.046,5.931,11.543,50.773131,6.095775
9,2023-10-08 09:00:00,3036,14.899228,6.9194355,8.526627,46.67371,2.0114043,214.90129,20.53262,2.5283995,9,11.438,6.086,11.091,50.773131,6.095775
10,2023-10-08 10:00:00,3036,16.237726,8.102318,8.1132765,49.918766,1.7571437,210.28517,19.328085,2.9895456,10,12.248,6.05,11.415,50.773131,6.095775
11,2023-10-08 11:00:00,3036,19.02594,8.893098,7.6622443,53.372913,1.4454745,212.51038,18.405212,2.4062412,11,12.869,6.269,20.517,50.773131,6.095775
12,2023-10-08 12:00:00,3036,21.052958,9.3824215,7.2750473,55.948215,1.0948753,206.58315,17.92169,1.9885514,12,13.205,6.684,22.62,50.773131,6.095775
13,2023-10-08 13:00:00,3036,22.319033,9.14781,7.011295,58.81931,1.212932,201.4275,17.751036,1.7000356,13,13.345,6.974,19.295,50.773131,6.095775
14,2023-10-08 14:00:00,3036,23.85827,8.717253,7.0918703,62.44623,1.2878093,199.38258,19.512833,1.3896652,14,17.28,8.326,28.084,50.773131,6.095775
15,2023-10-08 15:00:00,3036,23.0427,8.151283,6.8339734,64.63036,1.2581438,201.54141,19.585468,0.9830146,15,19.626,9.827,26.734,50.773131,6.095775
16,2023-10-08 16:00:00,3036,23.617758,8.020812,8.354618,61.233463,1.0199201,208.61627,23.434566,0.7316974,16,21.46,9.689,28.702,50.773131,6.095775
17,2023-10-08 17:00:00,3036,25.69563,8.007202,11.229474,50.269592,1.0527365,216.96088,22.095726,0.2009486,17,23.886,9.958,31.671,50.773131,6.095775
18,2023-10-08 18:00:00,3036,22.720896,8.125208,15.153417,42.96816,1.5506707,226.84142,23.596014,0.13729107,18,25.78,10.19,36.549,50.773131,6.095775
19,2023-10-08 19:00:00,3036,21.289457,8.927605,18.008348,41.429302,1.60275,225.45612,25.43637,0.1067022,19,25.763,10.19,27.465,50.773131,6.095775
20,2023-10-08 20:00:00,3036,17.669008,9.590158,14.586973,38.65353,1.3434054,232.98878,22.72699,0.07236167,20,26.787,10.132,33.511,50.773131,6.095775
6,2023-10-26 06:00:00,3036,12.638225,10.404624,9.253626,35.01326,1.4670775,201.0783,24.290804,0.3773266,6,13.403,11.554,13.521,50.773131,6.095775
7,2023-10-26 07:00:00,3036,12.609245,9.301024,13.493107,31.65929,1.4125164,203.60947,28.586205,0.92340714,7,11.975,10.655,11.932,50.773131,6.095775
8,2023-10-26 08:00:00,3036,9.744535,7.9572687,12.197505,36.12042,1.3658905,206.11856,28.869202,1.9514203,8,14.604,12.261,23.726,50.773131,6.095775
9,2023-10-26 09:00:00,3036,7.8896394,6.827862,9.474384,42.45142,1.09452,185.5748,21.121082,1.9053985,9,16.716,13.582,34.665,50.773131,6.095775
10,2023-10-26 10:00:00,3036,5.7734675,4.485559,8.324946,43.81991,0.57252693,174.86769,17.041328,1.4857895,10,17.668,13.786,46.144,50.773131,6.095775
11,2023-10-26 11:00:00,3036,6.440459,3.3194275,8.139758,43.334877,0.1398348,173.56877,16.968637,1.5898594,11,17.082,12.164,53.638,50.773131,6.095775
12,2023-10-26 12:00:00,3036,5.206301,2.8182251,7.6357393,47.500267,0.4206413,170.88295,16.690023,1.3258214,12,30.783,12.417,38.597,50.773131,6.095775
13,2023-10-26 13:00:00,3036,3.3116348,2.4766066,7.887593,51.953934,0.22538416,170.23094,18.07352,1.5535984,13,39.387,10.831,36.505,50.773131,6.095775
14,2023-10-26 14:00:00,3036,4.599768,3.0113375,8.60577,51.116856,0.28342128,164.77353,17.749979,0.9281412,14,61.592,10.895,27.813,50.773131,6.095775
15,2023-10-26 15:00:00,3036,4.1282253,2.0059943,11.725547,39.686943,0.45695004,180.07457,20.816088,0.73052317,15,24.102,5.901,24.325,50.773131,6.095775
16,2023-10-26 16:00:00,3036,3.9085197,2.066624,11.502209,33.084255,0.76741457,189.73325,19.206194,0.50033575,16,42.916,7.277,27.854,50.773131,6.095775
17,2023-10-26 17:00:00,3036,6.7670417,2.4591,11.735594,32.901768,0.89635676,220.40057,18.510214,0.3790177,17,41.808,6.563,24.076,50.773131,6.095775
18,2023-10-26 18:00:00,3036,5.951221,3.3105607,10.766929,30.398369,0.9604264,226.9744,18.661499,0.30912873,18,22.051,5.272,53.308,50.773131,6.095775
19,2023-10-26 19:00:00,3036,8.323253,4.8914776,10.538258,30.579172,0.8788561,213.81924,17.109484,0.14014745,19,4.268,2.403,58.614,50.773131,6.095775
20,2023-10-26 20:00:00,3036,10.013958,5.0958595,9.012491,35.561455,0.97224987,197.58781,15.33863,0.08003554,20,3.361,1.95,36.315,50.773131,6.095775
6,2023-10-27 06:00:00,3036,2.306163,1.8026162,4.793812,43.723656,0.22103563,163.55557,14.84003,0.19383606,6,6.476,4.151,7.407,50.773131,6.095775
7,2023-10-27 07:00:00,3036,2.021986,1.723725,8.273085,51.95267,0.55047166,171.77171,15.20454,0.2110525,7,5.002,3.334,15.897,50.773131,6.095775
8,2023-10-27 08:00:00,3036,5.7018833,2.4436107,9.0157995,52.201897,0.5787797,176.58202,13.974105,0.64640206,8,5.191,3.474,30.672,50.773131,6.095775
9,2023-10-27 09:00:00,3036,5.0408745,2.5728476,8.715322,47.9866,0.5989023,182.36554,12.702522,0.9271446,9,5.492,3.822,46.171,50.773131,6.095775
10,2023-10-27 10:00:00,3036,6.6516333,3.8449838,7.172074,50.936993,0.78354627,182.49667,11.739033,0.9264862,10,5.637,2.44,46.343,50.773131,6.095775
11,2023-10-27 11:00:00,3036,7.892858,4.913018,7.332744,53.87281,0.72444093,177.03593,11.235112,1.1972818,11,14.263,2.973,43.011,50.773131,6.095775
12,2023-10-27 12:00:00,3036,7.797437,3.7575357,6.2510843,53.240154,0.78216547,171.66597,10.223719,0.97546613,12,5.045,2.083,41.3,50.773131,6.095775
13,2023-10-27 13:00:00,3036,7.738481,3.3409233,5.41359,53.158493,1.2514706,173.26498,9.962361,0.8518342,13,8.074,3.454,35.645,50.773131,6.095775
14,2023-10-27 14:00:00,3036,5.371906,2.7724276,5.7730126,53.800373,1.0186341,171.12506,10.166343,0.77329785,14,9.638,5.131,30.371,50.773131,6.095775
15,2023-10-27 15:00:00,3036,5.5738025,3.3467376,6.299715,53.751133,0.7712586,177.7683,10.546589,0.7221672,15,9.025,5.361,36.027,50.773131,6.095775
16,2023-10-27 16:00:00,3036,6.970546,3.3834958,6.455618,52.46329,0.8294592,183.9147,11.47814,0.32497382,16,7.318,4.268,36.47,50.773131,6.095775
17,2023-10-27 17:00:00,3036,8.047243,2.6642358,7.5461407,48.558277,1.1586536,184.78008,10.887187,0.13696422,17,5.65,3.281,30.454,50.773131,6.095775
18,2023-10-27 18:00:00,3036,8.062364,2.9785004,7.7887845,43.389503,1.3704948,180.24449,10.626284,0.0815561,18,5.678,3.238,27.504,50.773131,6.095775
19,2023-10-27 19:00:00,3036,7.7238083,3.5202334,6.3014364,45.07436,1.1026913,173.56894,10.557786,0.06775735,19,6.451,3.655,28.701,50.773131,6.095775
20,2023-10-27 20:00:00,3036,8.704514,3.613286,5.100574,44.60526,1.0950885,171.89986,9.869109,0.05087486,20,5.927,3.223,28.332,50.773131,6.095775
6,2023-10-28 06:00:00,3036,3.1346278,2.317162,2.6078482,55.79497,0.51297635,162.59676,5.586529,0.069576345,6,2.769,1.488,5.332,50.773131,6.095775
7,2023-10-28 07:00:00,3036,4.3631396,2.3676136,2.7980177,55.912098,0.40201005,161.47838,5.8456564,0.09094947,7,2.316,1.159,6.039,50.773131,6.095775
8,2023-10-28 08:00:00,3036,3.887294,2.128944,3.392162,55.105923,0.3551861,165.1374,5.9369736,0.19124258,8,2.829,1.551,9.038,50.773131,6.095775
9,2023-10-28 09:00:00,3036,4.2829475,2.5144024,3.4161942,56.996216,0.3601599,158.8572,6.069766,0.30878943,9,3.42,1.777,15.387,50.773131,6.095775
10,2023-10-28 10:00:00,3036,5.4699917,2.6104465,3.4896474,59.688892,0.3965397,156.53204,5.894283,0.39819625,10,2.311,1.017,16.11,50.773131,6.095775
11,2023-10-28 11:00:00,3036,6.5642595,3.0954788,3.1860416,63.321877,0.50931865,160.16992,5.8238697,0.3815174,11,2.575,1.315,20.365,50.773131,6.095775
12,2023-10-28 12:00:00,3036,5.650486,2.3347514,2.7348683,65.03592,0.52023095,158.3677,5.7198057,0.42578122,12,3.439,1.749,22.979,50.773131,6.095775
